audio_context,audio_utterance,Sarcasm,Sarcasm_Type,Implicit_Emotion,Explicit_Emotion,Valence,Arousal
audio_context/1_10004_c.wav,audio_utterance/1_10004_u.wav,0,NONE,Anger,Anger,2.0,7.0
audio_context/1_10009_c.wav,audio_utterance/1_10009_u.wav,0,NONE,Happiness,Happiness,6.0,5.0
audio_context/1_1001_c.wav,audio_utterance/1_1001_u.wav,0,NONE,Excitement,Excitement,6.0,5.0
audio_context/1_1003_c.wav,audio_utterance/1_1003_u.wav,1,PRO,Anger,Sadness,3.0,6.0
audio_context/1_10190_c.wav,audio_utterance/1_10190_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_10462_c.wav,audio_utterance/1_10462_u.wav,1,PRO,Disgust,Excitement,4.0,6.0
audio_context/1_10495_c.wav,audio_utterance/1_10495_u.wav,1,ILL,Disgust,Neutral,3.0,7.0
audio_context/1_10496_c.wav,audio_utterance/1_10496_u.wav,1,PRO,Frustration,Happiness,2.0,8.0
audio_context/1_105_c.wav,audio_utterance/1_105_u.wav,1,EMB,Disgust,Neutral,2.0,6.0
audio_context/1_10748_c.wav,audio_utterance/1_10748_u.wav,1,PRO,Disgust,Sadness,3.0,7.0
audio_context/1_10797_c.wav,audio_utterance/1_10797_u.wav,0,NONE,Frustration,Frustration,4.0,6.0
audio_context/1_10810_c.wav,audio_utterance/1_10810_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_10829_c.wav,audio_utterance/1_10829_u.wav,1,EMB,Disgust,Happiness,3.0,4.0
audio_context/1_10849_c.wav,audio_utterance/1_10849_u.wav,0,NONE,Excitement,Excitement,6.0,6.0
audio_context/1_10853_c.wav,audio_utterance/1_10853_u.wav,0,NONE,Sadness,Sadness,4.0,6.0
audio_context/1_10857_c.wav,audio_utterance/1_10857_u.wav,0,NONE,Happiness,Happiness,6.0,7.0
audio_context/1_10859_c.wav,audio_utterance/1_10859_u.wav,0,NONE,Frustration,Frustration,4.0,5.0
audio_context/1_10890_c.wav,audio_utterance/1_10890_u.wav,1,PRO,Disgust,Happiness,3.0,6.0
audio_context/1_10977_c.wav,audio_utterance/1_10977_u.wav,0,NONE,Sadness,Sadness,4.0,5.0
audio_context/1_11006_c.wav,audio_utterance/1_11006_u.wav,1,PRO,Disgust,Happiness,3.0,6.0
audio_context/1_11021_c.wav,audio_utterance/1_11021_u.wav,1,PRO,Ridicule,Neutral,4.0,6.0
audio_context/1_11042_c.wav,audio_utterance/1_11042_u.wav,0,NONE,Sadness,Sadness,3.0,7.0
audio_context/1_11046_c.wav,audio_utterance/1_11046_u.wav,0,NONE,Happiness,Surprise,6.0,6.0
audio_context/1_11051_c.wav,audio_utterance/1_11051_u.wav,0,NONE,Happiness,Happiness,6.0,6.0
audio_context/1_11055_c.wav,audio_utterance/1_11055_u.wav,1,PRO,Disgust,Neutral,3.0,7.0
audio_context/1_11098_c.wav,audio_utterance/1_11098_u.wav,1,PRO,Ridicule,Surprise,3.0,7.0
audio_context/1_11120_c.wav,audio_utterance/1_11120_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_11177_c.wav,audio_utterance/1_11177_u.wav,1,EMB,Frustration,Sadness,4.0,7.0
audio_context/1_11201_c.wav,audio_utterance/1_11201_u.wav,0,NONE,Fear,Fear,4.0,6.0
audio_context/1_11224_c.wav,audio_utterance/1_11224_u.wav,1,EMB,Sadness,Sadness,3.0,8.0
audio_context/1_11232_c.wav,audio_utterance/1_11232_u.wav,1,PRO,Anger,Happiness,3.0,8.0
audio_context/1_11236_c.wav,audio_utterance/1_11236_u.wav,0,NONE,Anger,Anger,3.0,7.0
audio_context/1_11242_c.wav,audio_utterance/1_11242_u.wav,1,EMB,Anger,Happiness,2.0,8.0
audio_context/1_11243_c.wav,audio_utterance/1_11243_u.wav,1,PRO,Anger,Happiness,3.0,7.0
audio_context/1_11253_c.wav,audio_utterance/1_11253_u.wav,0,NONE,Happiness,Happiness,6.0,6.0
audio_context/1_11257_c.wav,audio_utterance/1_11257_u.wav,0,NONE,Sadness,Sadness,4.0,5.0
audio_context/1_11306_c.wav,audio_utterance/1_11306_u.wav,0,NONE,Sadness,Sadness,4.0,6.0
audio_context/1_11322_c.wav,audio_utterance/1_11322_u.wav,1,PRO,Disgust,Happiness,4.0,7.0
audio_context/1_11378_c.wav,audio_utterance/1_11378_u.wav,1,LIK,Anger,Neutral,4.0,6.0
audio_context/1_11439_c.wav,audio_utterance/1_11439_u.wav,1,PRO,Disgust,Neutral,3.0,7.0
audio_context/1_1144_c.wav,audio_utterance/1_1144_u.wav,1,PRO,Disgust,Neutral,4.0,6.0
audio_context/1_11485_c.wav,audio_utterance/1_11485_u.wav,0,NONE,Disgust,Disgust,4.0,6.0
audio_context/1_11526_c.wav,audio_utterance/1_11526_u.wav,0,NONE,Happiness,Happiness,6.0,6.0
audio_context/1_11529_c.wav,audio_utterance/1_11529_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_11609_c.wav,audio_utterance/1_11609_u.wav,0,NONE,Happiness,Happiness,6.0,5.0
audio_context/1_11697_c.wav,audio_utterance/1_11697_u.wav,1,ILL,Anger,Happiness,3.0,8.0
audio_context/1_11699_c.wav,audio_utterance/1_11699_u.wav,1,PRO,Ridicule,Sadness,4.0,7.0
audio_context/1_11723_c.wav,audio_utterance/1_11723_u.wav,0,NONE,Sadness,Sadness,4.0,5.0
audio_context/1_11736_c.wav,audio_utterance/1_11736_u.wav,0,NONE,Sadness,Sadness,4.0,6.0
audio_context/1_11773_c.wav,audio_utterance/1_11773_u.wav,1,PRO,Sadness,Excitement,2.0,8.0
audio_context/1_1180_c.wav,audio_utterance/1_1180_u.wav,1,PRO,Frustration,Sadness,3.0,9.0
audio_context/1_1185_c.wav,audio_utterance/1_1185_u.wav,0,NONE,Happiness,Happiness,6.0,7.0
audio_context/1_11885_c.wav,audio_utterance/1_11885_u.wav,1,PRO,Ridicule,Neutral,4.0,6.0
audio_context/1_11889_c.wav,audio_utterance/1_11889_u.wav,0,NONE,Happiness,Happiness,7.0,7.0
audio_context/1_1189_c.wav,audio_utterance/1_1189_u.wav,0,NONE,Frustration,Frustration,3.0,7.0
audio_context/1_11901_c.wav,audio_utterance/1_11901_u.wav,1,PRO,Disgust,Happiness,2.0,8.0
audio_context/1_11913_c.wav,audio_utterance/1_11913_u.wav,1,PRO,Ridicule,Sadness,4.0,6.0
audio_context/1_11924_c.wav,audio_utterance/1_11924_u.wav,1,PRO,Ridicule,Neutral,4.0,6.0
audio_context/1_11928_c.wav,audio_utterance/1_11928_u.wav,0,NONE,Sadness,Sadness,4.0,3.0
audio_context/1_12002_c.wav,audio_utterance/1_12002_u.wav,0,NONE,Frustration,Frustration,3.0,7.0
audio_context/1_12083_c.wav,audio_utterance/1_12083_u.wav,0,NONE,Happiness,Happiness,6.0,7.0
audio_context/1_12202_c.wav,audio_utterance/1_12202_u.wav,1,PRO,Sadness,Neutral,3.0,7.0
audio_context/1_12275_c.wav,audio_utterance/1_12275_u.wav,0,NONE,Sadness,Sadness,4.0,6.0
audio_context/1_12320_c.wav,audio_utterance/1_12320_u.wav,0,NONE,Fear,Fear,3.0,8.0
audio_context/1_12331_c.wav,audio_utterance/1_12331_u.wav,0,NONE,Surprise,Surprise,6.0,6.0
audio_context/1_1262_c.wav,audio_utterance/1_1262_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_1296_c.wav,audio_utterance/1_1296_u.wav,1,EMB,Frustration,Surprise,3.0,7.0
audio_context/1_1466_c.wav,audio_utterance/1_1466_u.wav,1,PRO,Ridicule,Neutral,3.0,6.0
audio_context/1_1470_c.wav,audio_utterance/1_1470_u.wav,0,NONE,Sadness,Sadness,3.0,6.0
audio_context/1_1478_c.wav,audio_utterance/1_1478_u.wav,1,EMB,Sadness,Happiness,2.0,6.0
audio_context/1_1484_c.wav,audio_utterance/1_1484_u.wav,0,NONE,Anger,Anger,3.0,7.0
audio_context/1_1549_c.wav,audio_utterance/1_1549_u.wav,1,PRO,Disgust,Neutral,2.0,8.0
audio_context/1_1560_c.wav,audio_utterance/1_1560_u.wav,1,PRO,Disgust,Happiness,3.0,7.0
audio_context/1_162_c.wav,audio_utterance/1_162_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_1627_c.wav,audio_utterance/1_1627_u.wav,0,NONE,Excitement,Excitement,6.0,7.0
audio_context/1_1638_c.wav,audio_utterance/1_1638_u.wav,1,PRO,Frustration,Neutral,3.0,8.0
audio_context/1_1666_c.wav,audio_utterance/1_1666_u.wav,0,NONE,Frustration,Frustration,3.0,7.0
audio_context/1_1678_c.wav,audio_utterance/1_1678_u.wav,0,NONE,Disgust,Disgust,3.0,6.0
audio_context/1_1722_c.wav,audio_utterance/1_1722_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_1732_c.wav,audio_utterance/1_1732_u.wav,1,ILL,Ridicule,Surprise,3.0,8.0
audio_context/1_175_c.wav,audio_utterance/1_175_u.wav,1,PRO,Disgust,Neutral,4.0,7.0
audio_context/1_1772_c.wav,audio_utterance/1_1772_u.wav,1,PRO,Anger,Excitement,3.0,8.0
audio_context/1_1798_c.wav,audio_utterance/1_1798_u.wav,1,PRO,Anger,Sadness,3.0,7.0
audio_context/1_1803_c.wav,audio_utterance/1_1803_u.wav,1,PRO,Sadness,Neutral,2.0,7.0
audio_context/1_182_c.wav,audio_utterance/1_182_u.wav,1,PRO,Disgust,Happiness,3.0,7.0
audio_context/1_1931_c.wav,audio_utterance/1_1931_u.wav,1,PRO,Disgust,Neutral,4.0,6.0
audio_context/1_1973_c.wav,audio_utterance/1_1973_u.wav,1,PRO,Frustration,Happiness,4.0,7.0
audio_context/1_1987_c.wav,audio_utterance/1_1987_u.wav,1,EMB,Sadness,Happiness,4.0,6.0
audio_context/1_2075_c.wav,audio_utterance/1_2075_u.wav,0,NONE,Excitement,Excitement,6.0,6.0
audio_context/1_2119_c.wav,audio_utterance/1_2119_u.wav,1,PRO,Disgust,Excitement,3.0,8.0
audio_context/1_213_c.wav,audio_utterance/1_213_u.wav,1,EMB,Frustration,Happiness,2.0,8.0
audio_context/1_2198_c.wav,audio_utterance/1_2198_u.wav,1,PRO,Anger,Neutral,4.0,6.0
audio_context/1_2216_c.wav,audio_utterance/1_2216_u.wav,0,NONE,Surprise,Surprise,6.0,7.0
audio_context/1_2354_c.wav,audio_utterance/1_2354_u.wav,1,PRO,Frustration,Neutral,3.0,6.0
audio_context/1_2361_c.wav,audio_utterance/1_2361_u.wav,0,NONE,Happiness,Happiness,6.0,7.0
audio_context/1_2420_c.wav,audio_utterance/1_2420_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_2423_c.wav,audio_utterance/1_2423_u.wav,0,NONE,Disgust,Disgust,4.0,6.0
audio_context/1_2464_c.wav,audio_utterance/1_2464_u.wav,1,PRO,Frustration,Happiness,4.0,7.0
audio_context/1_2575_c.wav,audio_utterance/1_2575_u.wav,0,NONE,Surprise,Surprise,6.0,6.0
audio_context/1_2580_c.wav,audio_utterance/1_2580_u.wav,1,PRO,Frustration,Excitement,3.0,7.0
audio_context/1_2614_c.wav,audio_utterance/1_2614_u.wav,1,PRO,Frustration,Neutral,4.0,6.0
audio_context/1_2616_c.wav,audio_utterance/1_2616_u.wav,1,PRO,Frustration,Excitement,3.0,8.0
audio_context/1_2664_c.wav,audio_utterance/1_2664_u.wav,0,NONE,Sadness,Sadness,3.0,7.0
audio_context/1_2669_c.wav,audio_utterance/1_2669_u.wav,0,NONE,Surprise,Surprise,6.0,6.0
audio_context/1_276_c.wav,audio_utterance/1_276_u.wav,1,PRO,Frustration,Neutral,3.0,8.0
audio_context/1_2778_c.wav,audio_utterance/1_2778_u.wav,1,PRO,Disgust,Neutral,2.0,8.0
audio_context/1_2792_c.wav,audio_utterance/1_2792_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_2797_c.wav,audio_utterance/1_2797_u.wav,1,PRO,Anger,Neutral,3.0,6.0
audio_context/1_2819_c.wav,audio_utterance/1_2819_u.wav,1,ILL,Disgust,Excitement,3.0,6.0
audio_context/1_2830_c.wav,audio_utterance/1_2830_u.wav,0,NONE,Sadness,Sadness,4.0,6.0
audio_context/1_2837_c.wav,audio_utterance/1_2837_u.wav,0,NONE,Frustration,Frustration,3.0,8.0
audio_context/1_2842_c.wav,audio_utterance/1_2842_u.wav,0,NONE,Excitement,Excitement,6.0,7.0
audio_context/1_2853_c.wav,audio_utterance/1_2853_u.wav,1,EMB,Frustration,Neutral,3.0,7.0
audio_context/1_3064_c.wav,audio_utterance/1_3064_u.wav,1,PRO,Ridicule,Neutral,4.0,7.0
audio_context/1_3069_c.wav,audio_utterance/1_3069_u.wav,0,NONE,Frustration,Frustration,4.0,5.0
audio_context/1_3125_c.wav,audio_utterance/1_3125_u.wav,1,EMB,Disgust,Neutral,3.0,8.0
audio_context/1_3177_c.wav,audio_utterance/1_3177_u.wav,0,NONE,Happiness,Happiness,4.0,6.0
audio_context/1_3204_c.wav,audio_utterance/1_3204_u.wav,0,NONE,Sadness,Sadness,6.0,7.0
audio_context/1_3256_c.wav,audio_utterance/1_3256_u.wav,1,PRO,Disgust,Happiness,3.0,8.0
audio_context/1_3259_c.wav,audio_utterance/1_3259_u.wav,1,PRO,Disgust,Neutral,4.0,8.0
audio_context/1_3287_c.wav,audio_utterance/1_3287_u.wav,1,PRO,Frustration,Happiness,2.0,7.0
audio_context/1_3293_c.wav,audio_utterance/1_3293_u.wav,1,LIK,Disgust,Happiness,3.0,7.0
audio_context/1_3333_c.wav,audio_utterance/1_3333_u.wav,0,NONE,Anger,Anger,4.0,6.0
audio_context/1_3348_c.wav,audio_utterance/1_3348_u.wav,0,NONE,Happiness,Happiness,4.0,6.0
audio_context/1_3371_c.wav,audio_utterance/1_3371_u.wav,0,NONE,Disgust,Disgust,4.0,6.0
audio_context/1_340_c.wav,audio_utterance/1_340_u.wav,1,PRO,Frustration,Neutral,3.0,7.0
audio_context/1_3419_c.wav,audio_utterance/1_3419_u.wav,1,PRO,Disgust,Neutral,4.0,6.0
audio_context/1_3476_c.wav,audio_utterance/1_3476_u.wav,0,NONE,Surprise,Surprise,6.0,7.0
audio_context/1_3545_c.wav,audio_utterance/1_3545_u.wav,1,PRO,Disgust,Neutral,4.0,6.0
audio_context/1_3573_c.wav,audio_utterance/1_3573_u.wav,1,EMB,Disgust,Excitement,3.0,7.0
audio_context/1_3599_c.wav,audio_utterance/1_3599_u.wav,0,NONE,Surprise,Surprise,4.0,6.0
audio_context/1_3649_c.wav,audio_utterance/1_3649_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_3660_c.wav,audio_utterance/1_3660_u.wav,1,PRO,Frustration,Neutral,2.0,8.0
audio_context/1_3707_c.wav,audio_utterance/1_3707_u.wav,1,PRO,Disgust,Happiness,4.0,7.0
audio_context/1_3766_c.wav,audio_utterance/1_3766_u.wav,1,PRO,Frustration,Neutral,4.0,5.0
audio_context/1_3837_c.wav,audio_utterance/1_3837_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_3840_c.wav,audio_utterance/1_3840_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_3842_c.wav,audio_utterance/1_3842_u.wav,0,NONE,Surprise,Surprise,4.0,6.0
audio_context/1_3911_c.wav,audio_utterance/1_3911_u.wav,0,NONE,Happiness,Happiness,4.0,5.0
audio_context/1_4031_c.wav,audio_utterance/1_4031_u.wav,1,PRO,Disgust,Neutral,3.0,8.0
audio_context/1_410_c.wav,audio_utterance/1_410_u.wav,0,NONE,Excitement,Excitement,6.0,6.0
audio_context/1_4145_c.wav,audio_utterance/1_4145_u.wav,1,PRO,Frustration,Neutral,4.0,6.0
audio_context/1_427_c.wav,audio_utterance/1_427_u.wav,1,PRO,Frustration,Sadness,4.0,7.0
audio_context/1_4281_c.wav,audio_utterance/1_4281_u.wav,0,NONE,Sadness,Sadness,4.0,5.0
audio_context/1_4286_c.wav,audio_utterance/1_4286_u.wav,0,NONE,Disgust,Disgust,3.0,7.0
audio_context/1_4290_c.wav,audio_utterance/1_4290_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_430_c.wav,audio_utterance/1_430_u.wav,0,NONE,Excitement,Excitement,7.0,7.0
audio_context/1_4352_c.wav,audio_utterance/1_4352_u.wav,0,NONE,Sadness,Sadness,3.0,7.0
audio_context/1_4477_c.wav,audio_utterance/1_4477_u.wav,0,NONE,Frustration,Frustration,4.0,5.0
audio_context/1_4544_c.wav,audio_utterance/1_4544_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_4552_c.wav,audio_utterance/1_4552_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_4576_c.wav,audio_utterance/1_4576_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_4603_c.wav,audio_utterance/1_4603_u.wav,0,NONE,Sadness,Sadness,4.0,6.0
audio_context/1_4639_c.wav,audio_utterance/1_4639_u.wav,0,NONE,Happiness,Happiness,6.0,7.0
audio_context/1_467_c.wav,audio_utterance/1_467_u.wav,0,NONE,Happiness,Happiness,6.0,6.0
audio_context/1_4743_c.wav,audio_utterance/1_4743_u.wav,1,PRO,Disgust,Happiness,3.0,7.0
audio_context/1_4760_c.wav,audio_utterance/1_4760_u.wav,1,PRO,Disgust,Neutral,4.0,6.0
audio_context/1_4789_c.wav,audio_utterance/1_4789_u.wav,1,PRO,Ridicule,Surprise,2.0,6.0
audio_context/1_4792_c.wav,audio_utterance/1_4792_u.wav,0,NONE,Sadness,Sadness,4.0,6.0
audio_context/1_4850_c.wav,audio_utterance/1_4850_u.wav,0,NONE,Neutral,Neutral,5.0,5.0
audio_context/1_4949_c.wav,audio_utterance/1_4949_u.wav,0,NONE,Happiness,Happiness,6.0,7.0
audio_context/1_4967_c.wav,audio_utterance/1_4967_u.wav,1,PRO,Disgust,Neutral,3.0,6.0
audio_context/1_4995_c.wav,audio_utterance/1_4995_u.wav,1,PRO,Disgust,Happiness,4.0,6.0
audio_context/1_5058_c.wav,audio_utterance/1_5058_u.wav,1,EMB,Disgust,Surprise,3.0,7.0
audio_context/1_506_c.wav,audio_utterance/1_506_u.wav,0,NONE,Sadness,Sadness,4.0,6.0
audio_context/1_507_c.wav,audio_utterance/1_507_u.wav,1,EMB,Frustration,Neutral,3.0,7.0
audio_context/1_5109_c.wav,audio_utterance/1_5109_u.wav,0,NONE,Anger,Anger,4.0,6.0
audio_context/1_5134_c.wav,audio_utterance/1_5134_u.wav,1,PRO,Disgust,Happiness,3.0,6.0
audio_context/1_5156_c.wav,audio_utterance/1_5156_u.wav,1,EMB,Disgust,Happiness,3.0,7.0
audio_context/1_5166_c.wav,audio_utterance/1_5166_u.wav,1,PRO,Disgust,Happiness,2.0,7.0
audio_context/1_5169_c.wav,audio_utterance/1_5169_u.wav,0,NONE,Excitement,Excitement,6.0,6.0
audio_context/1_5211_c.wav,audio_utterance/1_5211_u.wav,1,PRO,Disgust,Neutral,3.0,6.0
audio_context/1_5212_c.wav,audio_utterance/1_5212_u.wav,0,NONE,Surprise,Surprise,6.0,6.0
